company,any_continuity,grouping
3Com,no,
3M,no,
A-Mark Precious Metals,no,
A-T-O,no,
A. Schulman,no,
A.H. Robins,no,
A.O. Smith,no,
Abbott Laboratories,no,
AbbVie,no,
Abex,no,
AbitibiBowater,no,
ABM Industries,no,
Acco Industries,no,
Ace Hardware,no,
ACF Industries,no,
Actavis,no,
Activision Blizzard,no,
ACX Technologies,no,
Adams Resources & Engy.,no,
ADC Telecommunications,no,
Adelphia Communications,no,
Administaff,no,
Admiral,no,
Adobe,yes,
Adobe Systems,yes,
ADP,no,
Advance Auto Parts,no,
Advanced Micro Devices,no,
AdvancePCS,no,
AECOM,yes,
AECOM Technology,yes,
Aeroquip-Vickers,no,
AES,no,
Aetna,no,
Affiliated Computer Services,yes,3
Affiliated Computer Svcs.,yes,3
Affiliated Publications,?,
AFG Industries,no,
AFLAC,yes,4
Aflac,yes,4
AG Processing,no,
AGCO,no,
Agilent Technologies,no,
AGL Resources,,
Agway,,
AIG,,
Air Products & Chem.,yes,5
Air Products & Chemicals,yes,5
Airborne,,
Airgas,,
AirTouch Communications,,
AK Steel Holding,,
Akzona,,
Alan Wood Steel,,
Alaska Air Group,,
Albany International,,
Alberto-Culver,,
Albertson's,yes,6
Albertsons,yes,6
Albertsons Cos.,yes,
Alco Products,,
Alcoa,,
Aleris,yes,
Aleris International,yes,
Alleghany,yes,
Allegheny Energy,yes,
Allegheny International,yes,
Allegheny Technologies,yes,
Allegiance,,
Allen Group,,
Allergan,,
Alliance Data Systems,,
Alliant Techsystems,,
Allied Mills,,
Allied Products,,
Allied Waste Industries,,
Allis-Chalmers,,
Allmerica Financial,,
Allstate,,
Alltel,,
Ally Financial,,
Alpha Natural Resources,,
Alphabet,,
Altice USA,,
Altria Group,,
Alumax,,
AM International,,
Amalgamated Sugar,,
AMAX,,
Amazon.Com,yes,9
Amazon.com,yes,9
AMBAC Industries,,
AMDAHL,,
Amerace Esna,,
Amerada Hess,,
Ameren,,
America Online,,
American Agricultural Chemical,,
American Airlines Group,,
American Axle & Manufacturing,yes,10
American Axle & Mfg.,yes,10
American Bakeries,,
