"N0","N","Ft_proba"
2,147,0.115384615384615
3,147,0.153846153846154
4,147,0.0961538461538462
5,147,0.0307692307692308
6,147,0.0384615384615385
7,147,0.043956043956044
8,147,0.0576923076923077
9,147,0.0427350427350427
10,147,0.0153846153846154
11,147,0.020979020979021
12,147,0.0256410256410256
13,147,0.029585798816568
14,147,0.0274725274725275
15,147,0.0153846153846154
16,147,0.0288461538461538
17,147,0.0316742081447964
18,147,0.0299145299145299
19,147,0.0404858299595142
20,147,0.0346153846153846
21,147,0.0256410256410256
22,147,0.041958041958042
23,147,0.0468227424749164
24,147,0.0480769230769231
25,147,0.0430769230769231
26,147,0.0414201183431953
27,147,0.0341880341880342
28,147,0.0302197802197802
29,147,0.0344827586206897
30,147,0.0384615384615385
31,147,0.0397022332506203
32,147,0.0480769230769231
33,147,0.0372960372960373
34,147,0.0316742081447964
35,147,0.0417582417582418
36,147,0.0405982905982906
37,147,0.0415800415800416
38,147,0.0546558704453441
39,147,0.0552268244575937
40,147,0.0519230769230769
41,147,0.0562851782363977
42,147,0.0586080586080586
43,147,0.0572450805008945
44,147,0.0506993006993007
45,147,0.0495726495726496
46,147,0.0551839464882943
47,147,0.0621931260229133
48,147,0.0576923076923077
49,147,0.0549450549450549
50,147,0.0523076923076923
51,147,0.0542986425339367
52,147,0.0532544378698225
53,147,0.0551523947750363
54,147,0.0612535612535613
55,147,0.0559440559440559
56,147,0.0563186813186813
57,147,0.0526315789473684
58,147,0.0530503978779841
59,147,0.0534550195567145
60,147,0.0538461538461538
61,147,0.0592686002522068
62,147,0.0570719602977667
63,147,0.0561660561660562
64,147,0.0564903846153846
65,147,0.0662721893491124
66,147,0.0606060606060606
67,147,0.0619977037887486
68,147,0.0599547511312217
69,147,0.0579710144927536
70,147,0.0615384615384615
71,147,0.0606717226435536
72,147,0.0608974358974359
73,147,0.0663856691253951
74,147,0.0686070686070686
75,147,0.0605128205128205
76,147,0.0516194331983806
77,147,0.0579420579420579
78,147,0.0591715976331361
79,147,0.065238558909445
80,147,0.0586538461538462
81,147,0.0550807217473884
82,147,0.0553470919324578
83,147,0.0593141797961075
84,147,0.0549450549450549
85,147,0.0570135746606335
86,147,0.0608228980322004
87,147,0.0627763041556145
88,147,0.0620629370629371
89,147,0.0553154710458081
90,147,0.0615384615384615
91,147,0.0574809805579036
92,147,0.0576923076923077
93,147,0.0636889991728701
94,147,0.0597381342062193
95,147,0.0566801619433198
96,147,0.0576923076923077
97,147,0.0594766058683584
98,147,0.0518053375196232
99,147,0.0543900543900544
100,147,0.0538461538461538
