"Ft","time_t","time_t1","N0"
2,1,2,2
3,2,3,2
2,3,4,2
2,4,5,2
3,5,6,2
3,6,7,2
2,7,8,2
2,8,9,2
2,9,10,2
2,10,11,2
2,11,12,2
2,12,13,2
2,13,14,2
3,1,2,3
4,2,3,3
3,3,4,3
3,4,5,3
3,5,6,3
4,6,7,3
3,7,8,3
4,8,9,3
4,9,10,3
3,10,11,3
4,11,12,3
4,12,13,3
3,13,14,3
4,1,2,4
4,2,3,4
4,3,4,4
4,4,5,4
5,5,6,4
4,6,7,4
4,7,8,4
4,8,9,4
5,9,10,4
5,10,11,4
5,11,12,4
5,12,13,4
4,13,14,4
5,1,2,5
5,2,3,5
5,3,4,5
5,4,5,5
5,5,6,5
5,6,7,5
5,7,8,5
5,8,9,5
6,9,10,5
6,10,11,5
5,11,12,5
5,12,13,5
5,13,14,5
6,1,2,6
6,2,3,6
6,3,4,6
6,4,5,6
6,5,6,6
6,6,7,6
6,7,8,6
6,8,9,6
8,9,10,6
7,10,11,6
6,11,12,6
6,12,13,6
6,13,14,6
7,1,2,7
7,2,3,7
7,3,4,7
7,4,5,7
8,5,6,7
7,6,7,7
7,7,8,7
7,8,9,7
8,9,10,7
8,10,11,7
8,11,12,7
7,12,13,7
7,13,14,7
9,1,2,8
9,2,3,8
8,3,4,8
8,4,5,8
8,5,6,8
8,6,7,8
8,7,8,8
8,8,9,8
9,9,10,8
9,10,11,8
9,11,12,8
9,12,13,8
8,13,14,8
9,1,2,9
9,2,3,9
9,3,4,9
9,4,5,9
9,5,6,9
9,6,7,9
9,7,8,9
9,8,9,9
11,9,10,9
11,10,11,9
10,11,12,9
9,12,13,9
9,13,14,9
10,1,2,10
10,2,3,10
10,3,4,10
10,4,5,10
10,5,6,10
10,6,7,10
10,7,8,10
10,8,9,10
11,9,10,10
11,10,11,10
10,11,12,10
10,12,13,10
10,13,14,10
11,1,2,11
11,2,3,11
11,3,4,11
11,4,5,11
11,5,6,11
11,6,7,11
11,7,8,11
11,8,9,11
12,9,10,11
12,10,11,11
11,11,12,11
11,12,13,11
12,13,14,11
12,1,2,12
12,2,3,12
12,3,4,12
12,4,5,12
12,5,6,12
13,6,7,12
12,7,8,12
12,8,9,12
13,9,10,12
13,10,11,12
12,11,12,12
12,12,13,12
13,13,14,12
13,1,2,13
14,2,3,13
13,3,4,13
13,4,5,13
13,5,6,13
13,6,7,13
13,7,8,13
13,8,9,13
14,9,10,13
14,10,11,13
13,11,12,13
14,12,13,13
14,13,14,13
14,1,2,14
14,2,3,14
14,3,4,14
14,4,5,14
14,5,6,14
15,6,7,14
14,7,8,14
15,8,9,14
15,9,10,14
15,10,11,14
14,11,12,14
15,12,13,14
14,13,14,14
15,1,2,15
15,2,3,15
15,3,4,15
15,4,5,15
15,5,6,15
15,6,7,15
15,7,8,15
15,8,9,15
17,9,10,15
16,10,11,15
15,11,12,15
15,12,13,15
15,13,14,15
16,1,2,16
17,2,3,16
16,3,4,16
16,4,5,16
16,5,6,16
16,6,7,16
16,7,8,16
16,8,9,16
17,9,10,16
18,10,11,16
16,11,12,16
17,12,13,16
17,13,14,16
17,1,2,17
17,2,3,17
17,3,4,17
17,4,5,17
17,5,6,17
18,6,7,17
18,7,8,17
17,8,9,17
18,9,10,17
19,10,11,17
18,11,12,17
18,12,13,17
17,13,14,17
18,1,2,18
18,2,3,18
18,3,4,18
18,4,5,18
19,5,6,18
19,6,7,18
18,7,8,18
18,8,9,18
19,9,10,18
21,10,11,18
19,11,12,18
18,12,13,18
18,13,14,18
20,1,2,19
20,2,3,19
20,3,4,19
20,4,5,19
19,5,6,19
19,6,7,19
19,7,8,19
19,8,9,19
21,9,10,19
22,10,11,19
20,11,12,19
19,12,13,19
19,13,14,19
20,1,2,20
20,2,3,20
20,3,4,20
20,4,5,20
20,5,6,20
21,6,7,20
21,7,8,20
21,8,9,20
22,9,10,20
22,10,11,20
21,11,12,20
21,12,13,20
20,13,14,20
21,1,2,21
21,2,3,21
21,3,4,21
22,4,5,21
21,5,6,21
21,6,7,21
21,7,8,21
22,8,9,21
23,9,10,21
23,10,11,21
21,11,12,21
22,12,13,21
21,13,14,21
22,1,2,22
22,2,3,22
23,3,4,22
22,4,5,22
22,5,6,22
22,6,7,22
22,7,8,22
23,8,9,22
25,9,10,22
25,10,11,22
23,11,12,22
24,12,13,22
23,13,14,22
23,1,2,23
24,2,3,23
25,3,4,23
24,4,5,23
23,5,6,23
23,6,7,23
23,7,8,23
23,8,9,23
26,9,10,23
25,10,11,23
24,11,12,23
26,12,13,23
24,13,14,23
24,1,2,24
24,2,3,24
26,3,4,24
25,4,5,24
24,5,6,24
25,6,7,24
24,7,8,24
24,8,9,24
27,9,10,24
27,10,11,24
25,11,12,24
26,12,13,24
26,13,14,24
25,1,2,25
26,2,3,25
26,3,4,25
26,4,5,25
25,5,6,25
26,6,7,25
25,7,8,25
25,8,9,25
28,9,10,25
27,10,11,25
27,11,12,25
27,12,13,25
26,13,14,25
26,1,2,26
26,2,3,26
27,3,4,26
27,4,5,26
26,5,6,26
27,6,7,26
27,7,8,26
26,8,9,26
29,9,10,26
28,10,11,26
29,11,12,26
27,12,13,26
27,13,14,26
27,1,2,27
27,2,3,27
27,3,4,27
27,4,5,27
27,5,6,27
27,6,7,27
28,7,8,27
28,8,9,27
30,9,10,27
30,10,11,27
30,11,12,27
28,12,13,27
27,13,14,27
28,1,2,28
28,2,3,28
29,3,4,28
28,4,5,28
28,5,6,28
28,6,7,28
29,7,8,28
28,8,9,28
31,9,10,28
31,10,11,28
30,11,12,28
29,12,13,28
28,13,14,28
29,1,2,29
30,2,3,29
30,3,4,29
29,4,5,29
30,5,6,29
30,6,7,29
29,7,8,29
29,8,9,29
32,9,10,29
31,10,11,29
31,11,12,29
30,12,13,29
30,13,14,29
30,1,2,30
31,2,3,30
32,3,4,30
30,4,5,30
30,5,6,30
31,6,7,30
30,7,8,30
30,8,9,30
32,9,10,30
32,10,11,30
33,11,12,30
32,12,13,30
32,13,14,30
32,1,2,31
32,2,3,31
32,3,4,31
32,4,5,31
32,5,6,31
31,6,7,31
31,7,8,31
32,8,9,31
33,9,10,31
33,10,11,31
33,11,12,31
33,12,13,31
33,13,14,31
33,1,2,32
33,2,3,32
33,3,4,32
33,4,5,32
35,5,6,32
33,6,7,32
33,7,8,32
33,8,9,32
34,9,10,32
34,10,11,32
33,11,12,32
35,12,13,32
34,13,14,32
33,1,2,33
33,2,3,33
33,3,4,33
33,4,5,33
35,5,6,33
34,6,7,33
34,7,8,33
34,8,9,33
36,9,10,33
35,10,11,33
34,11,12,33
37,12,13,33
34,13,14,33
35,1,2,34
34,2,3,34
34,3,4,34
34,4,5,34
35,5,6,34
34,6,7,34
34,7,8,34
35,8,9,34
36,9,10,34
36,10,11,34
36,11,12,34
37,12,13,34
36,13,14,34
35,1,2,35
35,2,3,35
36,3,4,35
36,4,5,35
35,5,6,35
36,6,7,35
36,7,8,35
36,8,9,35
38,9,10,35
38,10,11,35
38,11,12,35
38,12,13,35
37,13,14,35
37,1,2,36
36,2,3,36
36,3,4,36
36,4,5,36
37,5,6,36
38,6,7,36
36,7,8,36
36,8,9,36
40,9,10,36
39,10,11,36
39,11,12,36
39,12,13,36
38,13,14,36
38,1,2,37
37,2,3,37
37,3,4,37
37,4,5,37
37,5,6,37
38,6,7,37
38,7,8,37
38,8,9,37
42,9,10,37
41,10,11,37
40,11,12,37
39,12,13,37
39,13,14,37
39,1,2,38
39,2,3,38
39,3,4,38
39,4,5,38
38,5,6,38
39,6,7,38
40,7,8,38
39,8,9,38
44,9,10,38
43,10,11,38
41,11,12,38
40,12,13,38
41,13,14,38
41,1,2,39
40,2,3,39
41,3,4,39
39,4,5,39
40,5,6,39
40,6,7,39
40,7,8,39
40,8,9,39
46,9,10,39
43,10,11,39
42,11,12,39
42,12,13,39
41,13,14,39
42,1,2,40
41,2,3,40
42,3,4,40
41,4,5,40
41,5,6,40
42,6,7,40
40,7,8,40
41,8,9,40
46,9,10,40
43,10,11,40
43,11,12,40
42,12,13,40
43,13,14,40
43,1,2,41
42,2,3,41
43,3,4,41
43,4,5,41
43,5,6,41
43,6,7,41
42,7,8,41
42,8,9,41
46,9,10,41
44,10,11,41
45,11,12,41
43,12,13,41
44,13,14,41
43,1,2,42
44,2,3,42
45,3,4,42
44,4,5,42
44,5,6,42
44,6,7,42
44,7,8,42
44,8,9,42
46,9,10,42
45,10,11,42
45,11,12,42
45,12,13,42
45,13,14,42
45,1,2,43
44,2,3,43
46,3,4,43
46,4,5,43
46,5,6,43
45,6,7,43
45,7,8,43
44,8,9,43
46,9,10,43
46,10,11,43
47,11,12,43
46,12,13,43
45,13,14,43
46,1,2,44
45,2,3,44
46,3,4,44
46,4,5,44
46,5,6,44
45,6,7,44
45,7,8,44
44,8,9,44
48,9,10,44
48,10,11,44
48,11,12,44
48,12,13,44
46,13,14,44
48,1,2,45
45,2,3,45
48,3,4,45
46,4,5,45
46,5,6,45
45,6,7,45
47,7,8,45
45,8,9,45
51,9,10,45
49,10,11,45
48,11,12,45
48,12,13,45
48,13,14,45
48,1,2,46
47,2,3,46
48,3,4,46
48,4,5,46
49,5,6,46
48,6,7,46
48,7,8,46
47,8,9,46
51,9,10,46
50,10,11,46
49,11,12,46
49,12,13,46
49,13,14,46
50,1,2,47
49,2,3,47
49,3,4,47
49,4,5,47
49,5,6,47
49,6,7,47
50,7,8,47
48,8,9,47
53,9,10,47
52,10,11,47
50,11,12,47
51,12,13,47
50,13,14,47
50,1,2,48
52,2,3,48
49,3,4,48
50,4,5,48
50,5,6,48
50,6,7,48
52,7,8,48
48,8,9,48
53,9,10,48
52,10,11,48
50,11,12,48
52,12,13,48
52,13,14,48
50,1,2,49
52,2,3,49
51,3,4,49
50,4,5,49
50,5,6,49
51,6,7,49
52,7,8,49
50,8,9,49
56,9,10,49
54,10,11,49
51,11,12,49
53,12,13,49
52,13,14,49
51,1,2,50
52,2,3,50
52,3,4,50
52,4,5,50
52,5,6,50
51,6,7,50
53,7,8,50
51,8,9,50
57,9,10,50
54,10,11,50
53,11,12,50
53,12,13,50
53,13,14,50
52,1,2,51
54,2,3,51
54,3,4,51
52,4,5,51
53,5,6,51
52,6,7,51
55,7,8,51
53,8,9,51
57,9,10,51
55,10,11,51
54,11,12,51
54,12,13,51
54,13,14,51
53,1,2,52
56,2,3,52
54,3,4,52
52,4,5,52
54,5,6,52
54,6,7,52
55,7,8,52
54,8,9,52
60,9,10,52
56,10,11,52
54,11,12,52
56,12,13,52
54,13,14,52
54,1,2,53
56,2,3,53
57,3,4,53
54,4,5,53
55,5,6,53
55,6,7,53
56,7,8,53
55,8,9,53
60,9,10,53
57,10,11,53
56,11,12,53
57,12,13,53
55,13,14,53
56,1,2,54
58,2,3,54
57,3,4,54
55,4,5,54
56,5,6,54
56,6,7,54
57,7,8,54
57,8,9,54
63,9,10,54
58,10,11,54
57,11,12,54
58,12,13,54
57,13,14,54
57,1,2,55
58,2,3,55
57,3,4,55
57,4,5,55
57,5,6,55
57,6,7,55
57,7,8,55
57,8,9,55
63,9,10,55
60,10,11,55
58,11,12,55
59,12,13,55
58,13,14,55
58,1,2,56
59,2,3,56
58,3,4,56
57,4,5,56
58,5,6,56
58,6,7,56
59,7,8,56
58,8,9,56
64,9,10,56
61,10,11,56
60,11,12,56
60,12,13,56
59,13,14,56
59,1,2,57
59,2,3,57
59,3,4,57
