"Ft","Country","time_t","time_t1","N0","N"
2,"DE",1,2,2,768
2,"DE",2,3,2,768
2,"DE",3,4,2,768
2,"DE",4,5,2,768
2,"DE",5,6,2,768
3,"DE",1,2,3,768
3,"DE",2,3,3,768
3,"DE",3,4,3,768
3,"DE",4,5,3,768
3,"DE",5,6,3,768
4,"DE",1,2,4,768
4,"DE",2,3,4,768
4,"DE",3,4,4,768
4,"DE",4,5,4,768
4,"DE",5,6,4,768
5,"DE",1,2,5,768
5,"DE",2,3,5,768
5,"DE",3,4,5,768
5,"DE",4,5,5,768
5,"DE",5,6,5,768
7,"DE",1,2,6,768
6,"DE",2,3,6,768
6,"DE",3,4,6,768
6,"DE",4,5,6,768
6,"DE",5,6,6,768
7,"DE",1,2,7,768
7,"DE",2,3,7,768
7,"DE",3,4,7,768
7,"DE",4,5,7,768
7,"DE",5,6,7,768
8,"DE",1,2,8,768
8,"DE",2,3,8,768
9,"DE",3,4,8,768
8,"DE",4,5,8,768
8,"DE",5,6,8,768
9,"DE",1,2,9,768
9,"DE",2,3,9,768
9,"DE",3,4,9,768
9,"DE",4,5,9,768
9,"DE",5,6,9,768
11,"DE",1,2,10,768
10,"DE",2,3,10,768
11,"DE",3,4,10,768
10,"DE",4,5,10,768
10,"DE",5,6,10,768
11,"DE",1,2,11,768
12,"DE",2,3,11,768
11,"DE",3,4,11,768
12,"DE",4,5,11,768
12,"DE",5,6,11,768
13,"DE",1,2,12,768
12,"DE",2,3,12,768
13,"DE",3,4,12,768
12,"DE",4,5,12,768
12,"DE",5,6,12,768
13,"DE",1,2,13,768
13,"DE",2,3,13,768
13,"DE",3,4,13,768
14,"DE",4,5,13,768
13,"DE",5,6,13,768
14,"DE",1,2,14,768
14,"DE",2,3,14,768
14,"DE",3,4,14,768
15,"DE",4,5,14,768
14,"DE",5,6,14,768
15,"DE",1,2,15,768
15,"DE",2,3,15,768
15,"DE",3,4,15,768
15,"DE",4,5,15,768
15,"DE",5,6,15,768
16,"DE",1,2,16,768
16,"DE",2,3,16,768
17,"DE",3,4,16,768
16,"DE",4,5,16,768
16,"DE",5,6,16,768
18,"DE",1,2,17,768
17,"DE",2,3,17,768
18,"DE",3,4,17,768
17,"DE",4,5,17,768
17,"DE",5,6,17,768
19,"DE",1,2,18,768
18,"DE",2,3,18,768
18,"DE",3,4,18,768
19,"DE",4,5,18,768
18,"DE",5,6,18,768
20,"DE",1,2,19,768
20,"DE",2,3,19,768
19,"DE",3,4,19,768
21,"DE",4,5,19,768
20,"DE",5,6,19,768
20,"DE",1,2,20,768
21,"DE",2,3,20,768
20,"DE",3,4,20,768
22,"DE",4,5,20,768
21,"DE",5,6,20,768
22,"DE",1,2,21,768
22,"DE",2,3,21,768
22,"DE",3,4,21,768
22,"DE",4,5,21,768
22,"DE",5,6,21,768
23,"DE",1,2,22,768
23,"DE",2,3,22,768
22,"DE",3,4,22,768
24,"DE",4,5,22,768
23,"DE",5,6,22,768
24,"DE",1,2,23,768
23,"DE",2,3,23,768
23,"DE",3,4,23,768
25,"DE",4,5,23,768
23,"DE",5,6,23,768
24,"DE",1,2,24,768
25,"DE",2,3,24,768
24,"DE",3,4,24,768
26,"DE",4,5,24,768
25,"DE",5,6,24,768
26,"DE",1,2,25,768
26,"DE",2,3,25,768
26,"DE",3,4,25,768
26,"DE",4,5,25,768
26,"DE",5,6,25,768
26,"DE",1,2,26,768
27,"DE",2,3,26,768
26,"DE",3,4,26,768
27,"DE",4,5,26,768
27,"DE",5,6,26,768
28,"DE",1,2,27,768
27,"DE",2,3,27,768
27,"DE",3,4,27,768
28,"DE",4,5,27,768
28,"DE",5,6,27,768
28,"DE",1,2,28,768
28,"DE",2,3,28,768
29,"DE",3,4,28,768
29,"DE",4,5,28,768
29,"DE",5,6,28,768
29,"DE",1,2,29,768
30,"DE",2,3,29,768
29,"DE",3,4,29,768
30,"DE",4,5,29,768
29,"DE",5,6,29,768
31,"DE",1,2,30,768
30,"DE",2,3,30,768
30,"DE",3,4,30,768
32,"DE",4,5,30,768
30,"DE",5,6,30,768
33,"DE",1,2,31,768
31,"DE",2,3,31,768
31,"DE",3,4,31,768
32,"DE",4,5,31,768
31,"DE",5,6,31,768
34,"DE",1,2,32,768
33,"DE",2,3,32,768
32,"DE",3,4,32,768
32,"DE",4,5,32,768
32,"DE",5,6,32,768
34,"DE",1,2,33,768
33,"DE",2,3,33,768
33,"DE",3,4,33,768
33,"DE",4,5,33,768
33,"DE",5,6,33,768
36,"DE",1,2,34,768
35,"DE",2,3,34,768
34,"DE",3,4,34,768
34,"DE",4,5,34,768
35,"DE",5,6,34,768
37,"DE",1,2,35,768
35,"DE",2,3,35,768
36,"DE",3,4,35,768
35,"DE",4,5,35,768
35,"DE",5,6,35,768
37,"DE",1,2,36,768
37,"DE",2,3,36,768
36,"DE",3,4,36,768
37,"DE",4,5,36,768
36,"DE",5,6,36,768
37,"DE",1,2,37,768
39,"DE",2,3,37,768
38,"DE",3,4,37,768
37,"DE",4,5,37,768
38,"DE",5,6,37,768
39,"DE",1,2,38,768
41,"DE",2,3,38,768
40,"DE",3,4,38,768
39,"DE",4,5,38,768
39,"DE",5,6,38,768
40,"DE",1,2,39,768
41,"DE",2,3,39,768
40,"DE",3,4,39,768
39,"DE",4,5,39,768
41,"DE",5,6,39,768
41,"DE",1,2,40,768
41,"DE",2,3,40,768
40,"DE",3,4,40,768
40,"DE",4,5,40,768
41,"DE",5,6,40,768
42,"DE",1,2,41,768
41,"DE",2,3,41,768
42,"DE",3,4,41,768
42,"DE",4,5,41,768
42,"DE",5,6,41,768
42,"DE",1,2,42,768
43,"DE",2,3,42,768
42,"DE",3,4,42,768
43,"DE",4,5,42,768
42,"DE",5,6,42,768
44,"DE",1,2,43,768
45,"DE",2,3,43,768
43,"DE",3,4,43,768
44,"DE",4,5,43,768
43,"DE",5,6,43,768
46,"DE",1,2,44,768
47,"DE",2,3,44,768
45,"DE",3,4,44,768
45,"DE",4,5,44,768
44,"DE",5,6,44,768
48,"DE",1,2,45,768
48,"DE",2,3,45,768
46,"DE",3,4,45,768
47,"DE",4,5,45,768
46,"DE",5,6,45,768
48,"DE",1,2,46,768
48,"DE",2,3,46,768
47,"DE",3,4,46,768
49,"DE",4,5,46,768
47,"DE",5,6,46,768
50,"DE",1,2,47,768
50,"DE",2,3,47,768
49,"DE",3,4,47,768
50,"DE",4,5,47,768
48,"DE",5,6,47,768
52,"DE",1,2,48,768
51,"DE",2,3,48,768
50,"DE",3,4,48,768
52,"DE",4,5,48,768
48,"DE",5,6,48,768
53,"DE",1,2,49,768
51,"DE",2,3,49,768
51,"DE",3,4,49,768
54,"DE",4,5,49,768
49,"DE",5,6,49,768
53,"DE",1,2,50,768
51,"DE",2,3,50,768
52,"DE",3,4,50,768
54,"DE",4,5,50,768
51,"DE",5,6,50,768
53,"DE",1,2,51,768
53,"DE",2,3,51,768
53,"DE",3,4,51,768
56,"DE",4,5,51,768
52,"DE",5,6,51,768
54,"DE",1,2,52,768
55,"DE",2,3,52,768
55,"DE",3,4,52,768
56,"DE",4,5,52,768
53,"DE",5,6,52,768
55,"DE",1,2,53,768
55,"DE",2,3,53,768
55,"DE",3,4,53,768
56,"DE",4,5,53,768
55,"DE",5,6,53,768
56,"DE",1,2,54,768
56,"DE",2,3,54,768
56,"DE",3,4,54,768
57,"DE",4,5,54,768
56,"DE",5,6,54,768
57,"DE",1,2,55,768
57,"DE",2,3,55,768
57,"DE",3,4,55,768
58,"DE",4,5,55,768
58,"DE",5,6,55,768
58,"DE",1,2,56,768
58,"DE",2,3,56,768
57,"DE",3,4,56,768
58,"DE",4,5,56,768
59,"DE",5,6,56,768
59,"DE",1,2,57,768
59,"DE",2,3,57,768
59,"DE",3,4,57,768
59,"DE",4,5,57,768
59,"DE",5,6,57,768
60,"DE",1,2,58,768
60,"DE",2,3,58,768
60,"DE",3,4,58,768
61,"DE",4,5,58,768
59,"DE",5,6,58,768
61,"DE",1,2,59,768
62,"DE",2,3,59,768
60,"DE",3,4,59,768
62,"DE",4,5,59,768
61,"DE",5,6,59,768
62,"DE",1,2,60,768
64,"DE",2,3,60,768
61,"DE",3,4,60,768
63,"DE",4,5,60,768
63,"DE",5,6,60,768
63,"DE",1,2,61,768
65,"DE",2,3,61,768
62,"DE",3,4,61,768
63,"DE",4,5,61,768
64,"DE",5,6,61,768
64,"DE",1,2,62,768
66,"DE",2,3,62,768
64,"DE",3,4,62,768
64,"DE",4,5,62,768
64,"DE",5,6,62,768
65,"DE",1,2,63,768
67,"DE",2,3,63,768
66,"DE",3,4,63,768
65,"DE",4,5,63,768
65,"DE",5,6,63,768
66,"DE",1,2,64,768
68,"DE",2,3,64,768
66,"DE",3,4,64,768
67,"DE",4,5,64,768
66,"DE",5,6,64,768
67,"DE",1,2,65,768
70,"DE",2,3,65,768
66,"DE",3,4,65,768
67,"DE",4,5,65,768
67,"DE",5,6,65,768
68,"DE",1,2,66,768
71,"DE",2,3,66,768
66,"DE",3,4,66,768
67,"DE",4,5,66,768
69,"DE",5,6,66,768
70,"DE",1,2,67,768
71,"DE",2,3,67,768
68,"DE",3,4,67,768
67,"DE",4,5,67,768
70,"DE",5,6,67,768
70,"DE",1,2,68,768
72,"DE",2,3,68,768
69,"DE",3,4,68,768
68,"DE",4,5,68,768
71,"DE",5,6,68,768
72,"DE",1,2,69,768
72,"DE",2,3,69,768
71,"DE",3,4,69,768
70,"DE",4,5,69,768
71,"DE",5,6,69,768
74,"DE",1,2,70,768
72,"DE",2,3,70,768
71,"DE",3,4,70,768
71,"DE",4,5,70,768
71,"DE",5,6,70,768
75,"DE",1,2,71,768
73,"DE",2,3,71,768
72,"DE",3,4,71,768
72,"DE",4,5,71,768
72,"DE",5,6,71,768
76,"DE",1,2,72,768
73,"DE",2,3,72,768
73,"DE",3,4,72,768
74,"DE",4,5,72,768
74,"DE",5,6,72,768
77,"DE",1,2,73,768
75,"DE",2,3,73,768
75,"DE",3,4,73,768
74,"DE",4,5,73,768
75,"DE",5,6,73,768
78,"DE",1,2,74,768
75,"DE",2,3,74,768
75,"DE",3,4,74,768
76,"DE",4,5,74,768
76,"DE",5,6,74,768
80,"DE",1,2,75,768
76,"DE",2,3,75,768
76,"DE",3,4,75,768
77,"DE",4,5,75,768
77,"DE",5,6,75,768
80,"DE",1,2,76,768
77,"DE",2,3,76,768
78,"DE",3,4,76,768
79,"DE",4,5,76,768
78,"DE",5,6,76,768
81,"DE",1,2,77,768
78,"DE",2,3,77,768
80,"DE",3,4,77,768
80,"DE",4,5,77,768
79,"DE",5,6,77,768
81,"DE",1,2,78,768
80,"DE",2,3,78,768
80,"DE",3,4,78,768
81,"DE",4,5,78,768
79,"DE",5,6,78,768
82,"DE",1,2,79,768
81,"DE",2,3,79,768
82,"DE",3,4,79,768
81,"DE",4,5,79,768
80,"DE",5,6,79,768
83,"DE",1,2,80,768
82,"DE",2,3,80,768
83,"DE",3,4,80,768
82,"DE",4,5,80,768
82,"DE",5,6,80,768
83,"DE",1,2,81,768
83,"DE",2,3,81,768
84,"DE",3,4,81,768
84,"DE",4,5,81,768
83,"DE",5,6,81,768
85,"DE",1,2,82,768
83,"DE",2,3,82,768
85,"DE",3,4,82,768
86,"DE",4,5,82,768
84,"DE",5,6,82,768
87,"DE",1,2,83,768
85,"DE",2,3,83,768
87,"DE",3,4,83,768
87,"DE",4,5,83,768
86,"DE",5,6,83,768
89,"DE",1,2,84,768
86,"DE",2,3,84,768
88,"DE",3,4,84,768
88,"DE",4,5,84,768
87,"DE",5,6,84,768
89,"DE",1,2,85,768
87,"DE",2,3,85,768
90,"DE",3,4,85,768
89,"DE",4,5,85,768
89,"DE",5,6,85,768
90,"DE",1,2,86,768
89,"DE",2,3,86,768
91,"DE",3,4,86,768
91,"DE",4,5,86,768
89,"DE",5,6,86,768
90,"DE",1,2,87,768
90,"DE",2,3,87,768
93,"DE",3,4,87,768
91,"DE",4,5,87,768
89,"DE",5,6,87,768
91,"DE",1,2,88,768
92,"DE",2,3,88,768
94,"DE",3,4,88,768
91,"DE",4,5,88,768
91,"DE",5,6,88,768
93,"DE",1,2,89,768
93,"DE",2,3,89,768
94,"DE",3,4,89,768
93,"DE",4,5,89,768
92,"DE",5,6,89,768
93,"DE",1,2,90,768
95,"DE",2,3,90,768
95,"DE",3,4,90,768
93,"DE",4,5,90,768
93,"DE",5,6,90,768
94,"DE",1,2,91,768
96,"DE",2,3,91,768
96,"DE",3,4,91,768
94,"DE",4,5,91,768
93,"DE",5,6,91,768
94,"DE",1,2,92,768
97,"DE",2,3,92,768
96,"DE",3,4,92,768
94,"DE",4,5,92,768
