"time_t","Nt","N0"
1,2,2
2,4,2
3,6,2
4,8,2
5,10,2
6,12,2
7,14,2
8,16,2
9,18,2
10,20,2
1,3,3
2,6,3
3,9,3
4,12,3
5,15,3
6,18,3
7,21,3
8,24,3
9,27,3
10,30,3
1,4,4
2,8,4
3,12,4
4,16,4
5,20,4
6,23,4
7,27,4
8,31,4
9,35,4
10,39,4
1,5,5
2,10,5
3,15,5
4,20,5
5,25,5
6,29,5
7,34,5
8,39,5
9,44,5
10,48,5
1,6,6
2,12,6
3,18,6
4,24,6
5,30,6
6,35,6
7,41,6
8,47,6
9,53,6
10,58,6
1,7,7
2,14,7
3,21,7
4,28,7
5,35,7
6,41,7
7,48,7
8,55,7
9,62,7
10,68,7
1,8,8
2,16,8
3,24,8
4,32,8
5,40,8
6,47,8
7,55,8
8,63,8
9,71,8
10,77,8
1,9,9
2,18,9
3,27,9
4,36,9
5,45,9
6,53,9
7,62,9
8,71,9
9,78,9
10,85,9
1,10,10
2,20,10
3,30,10
4,40,10
5,50,10
6,59,10
7,69,10
8,79,10
9,86,10
10,93,10
1,11,11
2,22,11
3,33,11
4,44,11
5,55,11
6,65,11
7,76,11
8,86,11
9,94,11
10,100,11
1,12,12
2,24,12
3,36,12
4,48,12
5,60,12
6,71,12
7,82,12
8,93,12
9,102,12
10,109,12
1,13,13
2,26,13
3,39,13
4,52,13
5,65,13
6,77,13
7,89,13
8,100,13
9,110,13
10,117,13
1,14,14
2,28,14
3,42,14
4,56,14
5,70,14
6,83,14
7,95,14
8,107,14
9,118,14
10,126,14
1,15,15
2,30,15
3,45,15
4,60,15
5,75,15
6,88,15
7,101,15
8,114,15
9,125,15
10,134,15
1,16,16
2,32,16
3,48,16
4,64,16
5,80,16
6,94,16
7,108,16
8,122,16
9,134,16
10,144,16
1,17,17
2,34,17
3,51,17
4,68,17
5,85,17
6,100,17
7,115,17
8,129,17
9,142,17
10,153,17
1,18,18
2,36,18
3,54,18
4,72,18
5,90,18
6,106,18
7,121,18
8,136,18
9,150,18
10,162,18
1,19,19
2,38,19
3,57,19
4,76,19
5,95,19
6,112,19
7,127,19
8,143,19
9,158,19
10,171,19
1,20,20
2,39,20
3,59,20
4,79,20
5,98,20
6,116,20
7,132,20
8,149,20
9,164,20
10,177,20
1,21,21
2,41,21
3,62,21
4,83,21
5,103,21
6,122,21
7,139,21
8,157,21
9,173,21
10,187,21
1,22,22
2,43,22
3,65,22
4,87,22
5,108,22
6,128,22
7,146,22
8,163,22
9,179,22
10,194,22
1,23,23
2,44,23
3,67,23
4,90,23
5,112,23
6,133,23
7,152,23
8,170,23
9,187,23
10,203,23
1,24,24
2,46,24
3,70,24
4,94,24
5,117,24
6,139,24
7,159,24
8,178,24
9,196,24
10,213,24
1,25,25
2,48,25
3,73,25
4,98,25
5,122,25
6,145,25
7,166,25
8,186,25
9,205,25
10,222,25
1,26,26
2,50,26
3,76,26
4,101,26
5,126,26
6,150,26
7,172,26
