"N0","N","t_1","t_14","o_point"
2,147,1,2,0.0714285714285714
3,147,1,1.66666666666667,0.0476190476190476
4,147,1,1.5,0.0357142857142857
5,147,1,1.2,0.0142857142857143
6,147,1,1.33333333333333,0.0238095238095238
7,147,1,1.42857142857143,0.0306122448979592
8,147,1,1.375,0.0267857142857143
9,147,1,1.22222222222222,0.0158730158730159
10,147,1,1.1,0.00714285714285715
11,147,1,1.18181818181818,0.012987012987013
12,147,1,1.16666666666667,0.0119047619047619
13,147,1,1.23076923076923,0.0164835164835165
14,147,1,1.21428571428571,0.0153061224489796
15,147,1,1.13333333333333,0.00952380952380952
16,147,1,1.25,0.0178571428571429
17,147,1,1.29411764705882,0.0210084033613445
18,147,1,1.22222222222222,0.0158730158730159
19,147,1,1.26315789473684,0.018796992481203
20,147,1,1.25,0.0178571428571429
21,147,1,1.23809523809524,0.0170068027210884
22,147,1,1.36363636363636,0.025974025974026
23,147,1,1.34782608695652,0.0248447204968944
24,147,1,1.33333333333333,0.0238095238095238
25,147,1,1.36,0.0257142857142857
26,147,1,1.30769230769231,0.021978021978022
27,147,1,1.2962962962963,0.0211640211640212
28,147,1,1.28571428571429,0.0204081632653061
29,147,1,1.27586206896552,0.019704433497537
30,147,1,1.3,0.0214285714285714
31,147,1,1.29032258064516,0.0207373271889401
32,147,1.03125,1.34375,0.0223214285714286
33,147,1,1.3030303030303,0.0216450216450216
34,147,1,1.29411764705882,0.0210084033613445
35,147,1,1.31428571428571,0.0224489795918367
36,147,1,1.33333333333333,0.0238095238095238
37,147,1,1.35135135135135,0.0250965250965251
38,147,1,1.36842105263158,0.0263157894736842
39,147,1.02564102564103,1.38461538461538,0.0256410256410256
40,147,1,1.375,0.0267857142857143
41,147,1.02439024390244,1.39024390243902,0.0261324041811847
42,147,1,1.4047619047619,0.0289115646258503
43,147,1.02325581395349,1.41860465116279,0.0282392026578073
44,147,1,1.40909090909091,0.0292207792207792
45,147,1,1.4,0.0285714285714286
46,147,1,1.41304347826087,0.0295031055900621
47,147,1.04255319148936,1.42553191489362,0.0273556231003039
48,147,1.02083333333333,1.39583333333333,0.0267857142857143
49,147,1,1.38775510204082,0.0276967930029154
50,147,1,1.36,0.0257142857142857
51,147,1,1.3921568627451,0.0280112044817927
52,147,1,1.36538461538462,0.0260989010989011
53,147,1,1.37735849056604,0.0269541778975741
54,147,1,1.40740740740741,0.0291005291005291
55,147,1,1.4,0.0285714285714286
56,147,1,1.41071428571429,0.0293367346938776
57,147,1.03508771929825,1.42105263157895,0.0275689223057644
58,147,1.01724137931034,1.43103448275862,0.0295566502463054
59,147,1,1.44067796610169,0.0314769975786925
60,147,1,1.43333333333333,0.030952380952381
61,147,1,1.44262295081967,0.031615925058548
62,147,1,1.41935483870968,0.0299539170506912
63,147,1,1.3968253968254,0.0283446712018141
64,147,1,1.390625,0.0279017857142857
65,147,1.01538461538462,1.46153846153846,0.0318681318681319
66,147,1,1.45454545454545,0.0324675324675325
67,147,1.01492537313433,1.46268656716418,0.0319829424307036
68,147,1,1.47058823529412,0.0336134453781513
69,147,1.01449275362319,1.47826086956522,0.0331262939958592
70,147,1,1.48571428571429,0.0346938775510204
71,147,1,1.47887323943662,0.03420523138833
72,147,1,1.47222222222222,0.0337301587301587
73,147,1.01369863013699,1.49315068493151,0.0342465753424657
74,147,1,1.48648648648649,0.0347490347490347
75,147,1,1.46666666666667,0.0333333333333333
76,147,1,1.46052631578947,0.0328947368421053
77,147,1,1.45454545454545,0.0324675324675325
78,147,1.01282051282051,1.46153846153846,0.032051282051282
79,147,1,1.48101265822785,0.0343580470162749
80,147,1.0125,1.4625,0.0321428571428571
81,147,1,1.45679012345679,0.0326278659611993
82,147,1,1.45121951219512,0.0322299651567944
83,147,1,1.4578313253012,0.0327022375215146
84,147,1,1.45238095238095,0.032312925170068
85,147,1,1.44705882352941,0.0319327731092437
86,147,1,1.44186046511628,0.0315614617940199
87,147,1.01149425287356,1.44827586206897,0.0311986863711002
88,147,1,1.45454545454545,0.0324675324675325
89,147,1,1.44943820224719,0.0321027287319422
90,147,1.01111111111111,1.46666666666667,0.0325396825396825
91,147,1,1.46153846153846,0.032967032967033
92,147,1,1.46739130434783,0.0333850931677019
93,147,1.03225806451613,1.46236559139785,0.0307219662058372
94,147,1.02127659574468,1.4468085106383,0.0303951367781155
95,147,1.01052631578947,1.44210526315789,0.0308270676691729
96,147,1,1.45833333333333,0.0327380952380952
97,147,1,1.45360824742268,0.03240058910162
98,147,1,1.44897959183673,0.0320699708454811
99,147,1,1.44444444444444,0.0317460317460317
100,147,1,1.47,0.0335714285714286
