published,directory,view,version,entry_id,text_ocr,ner_xml,persons,activity,act_new,location,cardinality,nb_activities,nb_persons,nb_loc,nb_card,overall_score,geometry
1898,DidotBottin_1898a,301,v2:2022-06-20,7485176,"Aubrecq (C.), imprimeur spécial de cartes
a boutons.
Charlot, 43.","<PER>Aubrecq (C.),</PER> <ACT>imprimeur spécial de cartes a boutons</ACT>. <LOC>Charlot</LOC>, <CARDINAL>43</CARDINAL>.","Aubrecq (C.),",imprimeur spécial de cartes a boutons,imprimeur special de cartes a boutons,Charlot,43,1,1,1,1,1,POINT (653241.1 6862749)
1859,DidotBottin_1859a,430,v2:2022-06-20,7485596,"Sauret-Andriveau , globes et cartes terrestres
et célestes, Savoie, 9.","<PER>Sauret-Andriveau</PER> <ACT>, globes et cartes terrestres et célestes</ACT><LOC>, Savoie</LOC>, <CARDINAL>9</CARDINAL>.",Sauret-Andriveau,", globes et cartes terrestres et célestes",", globes et cartes terrestres et celestes",", Savoie",9,1,1,1,1,0.92,POINT (651680.7 6861780)
1842,Bottin2_1842a,115,v2:2022-06-20,7487810,"Dauty, estampes, cartes géographiques, Musée, 12","<PER>Dauty</PER><ACT>, estampes, cartes géographiques</ACT><LOC>, Musée</LOC>, <CARDINAL>12</CARDINAL>",Dauty,", estampes, cartes géographiques",", estampes, cartes geographiques",", Musée",12,1,1,1,1,0.61088,POINT (651135.4 6863751)
1886,DidotBottin_1886a,450,v2:2022-06-20,7493956,"Godeau (E.) (E. et G. Durandfrères,successeurs),
papiers de fantaisie, dentelles, imageries,
cartes de fable-menu, quai Jemmapes, 86.","<PER>Godeau (E.) (E. et G. Durandfrères,successeurs),</PER> <ACT>papiers de fantaisie, dentelles, imageries, cartes de fable-menu</ACT>, <LOC>quai Jemmapes</LOC>, <CARDINAL>86</CARDINAL>.","Godeau (E.) (E. et G. Durandfrères,successeurs),","papiers de fantaisie, dentelles, imageries, cartes de fable-menu","papiers de fantaisie, dentelles, imageries, cartes de fable-menu",quai Jemmapes,86,1,1,1,1,0.7719,POINT (653412.9 6863796)
1857,DidotBottin_1857a,347,v2:2022-06-20,7496706,"Lemoussu frères et Hirbec, cartes en feuilles,
Montmorency, 11; fabrique, St-Maur-Po-
pincourt, 227.","<PER>Lemoussu frères et Hirbec</PER>, <ACT>cartes en feuilles</ACT><LOC>, Montmorency</LOC>, <CARDINAL>11</CARDINAL>; fabrique, <LOC>St-Maur-Po- pincourt</LOC>, <CARDINAL>227</CARDINAL>.",Lemoussu frères et Hirbec,cartes en feuilles,cartes en feuilles,"c("", Montmorency"", ""St-Maur-Po- pincourt"")","c(""11"", ""227"")",1,1,2,2,"0.86, NA",POINT (652767 6862709)
1898,DidotBottin_1898a,767,v2:2022-06-20,7496908,"Monier, fabr. de cartes en feuilles, r. Pier-
re-Levée, 11.","<PER>Monier</PER><ACT>, fabr. de cartes en feuilles</ACT>, <LOC>r. Pier- re-Levée</LOC>, <CARDINAL>11</CARDINAL>.",Monier,", fabr. de cartes en feuilles",", fabr. de cartes en feuilles",r. Pier- re-Levée,11,1,1,1,1,"NA",POINT EMPTY
1850,Didot_1850a,339,v2:2022-06-20,7500724,"Picquet (Ch. ) , cartes géographiques, quai
Conti, 17.","<PER>Picquet (Ch. )</PER> , <ACT>cartes géographiques</ACT>, <LOC>quai Conti</LOC>, <CARDINAL>17</CARDINAL>.",Picquet (Ch. ),cartes géographiques,cartes geographiques,quai Conti,17,1,1,1,1,0.76,POINT (651434.2 6862103)
1850,Didot_1850a,339,v2:2022-06-20,7500725,"Picquet (C.), cartes géographiques et globes,
22.
Arbre-Sec","<PER>Picquet (C.),</PER> <ACT>cartes géographiques et globes</ACT>, <CARDINAL>22</CARDINAL><LOC>. Arbre-Sec</LOC>","Picquet (C.),",cartes géographiques et globes,cartes geographiques et globes,. Arbre-Sec,22,1,1,1,1,"NA",POINT EMPTY
1898,DidotBottin_1898a,810,v2:2022-06-20,7504409,"Perrault, Lions et Robert, fabr. de cartes en
152.79.
feuilles, r. de Palestro, 15. TÉLÉPH.","<PER>Perrault, Lions et Robert</PER><ACT>, fabr. de cartes en 152.79. feuilles</ACT>, <LOC>r. de Palest</LOC>ro, <CARDINAL>15</CARDINAL>. TÉLÉPH.","Perrault, Lions et Robert",", fabr. de cartes en 152.79. feuilles",", fabr. de cartes en 152.79. feuilles",r. de Palest,15,1,1,1,1,"NA",POINT EMPTY
1903,DidotBottin_1903a,621,v2:2022-06-20,7506564,"Papault et Rouelle, modcteurs pour arts.
plans en retief, r. Marieiet-Louise. 7. (100)","<PER>Papault et Rouelle</PER><ACT>, modcteurs pour arts. plans en retief</ACT>, <LOC>r. Marieiet-Louise</LOC>. <CARDINAL>7</CARDINAL>. (<CARDINAL>100</CARDINAL>)",Papault et Rouelle,", modcteurs pour arts. plans en retief",", modcteurs pour arts. plans en retief",r. Marieiet-Louise,"c(""7"", ""100"")",1,1,1,2,"NA",POINT EMPTY
1904,DidotBottin_1904a,342,v2:2022-06-20,7506879,"Fraissard (Vve
Merri, 40. (4e
„ découpage de cartes, r. St-","<PER>Fraissard (Vve</PER> <LOC>Merri</LOC>, <CARDINAL>40</CARDINAL><ACT>. (4e „ découpage de cartes</ACT>, <LOC>r. St-</LOC>",Fraissard (Vve,. (4e „ découpage de cartes,". (4e ,, decoupage de cartes","c(""Merri"", ""r. St-"")",40,1,1,2,1,"0.5751, 0.333","MULTIPOINT ((651279.9 6861823), (652404.7 6862416))"
1857,DidotBottin_1857a,466,v2:2022-06-20,7507733,"Tapin (Ilté) et Mme Garot, cartes et papiers
de fantaisie, Charlot, 28.","<PER>Tapin (Ilté) et Mme Garot</PER><ACT>, cartes et papiers de fantaisie</ACT>, <LOC>Charlot</LOC>, <CARDINAL>28</CARDINAL>.",Tapin (Ilté) et Mme Garot,", cartes et papiers de fantaisie",", cartes et papiers de fantaisie",Charlot,28,1,1,1,1,1,POINT (653186.2 6862652)
1896,DidotBottin_1896a,444,v2:2022-06-20,7509714,"Fournié, cartes en feuilles â façon et fabr.
de livrets pour batteurs d'or, boul. de Cha-
ronne, 88.","<PER>Fournié</PER>, <ACT>cartes en feuilles â façon et fabr. de livrets pour batteurs d'or</ACT>, <LOC>boul. de Cha- ronne</LOC>, <CARDINAL>88</CARDINAL>.",Fournié,cartes en feuilles â façon et fabr. de livrets pour batteurs d'or,cartes en feuilles a facon et fabr. de livrets pour batteurs d'or,boul. de Cha- ronne,88,1,1,1,1,"NA",POINT EMPTY
1842,Didot_1842a,464,v2:2022-06-20,7509970,"Selves, cartes géographiques, Mathurins, 18.","<PER>Selves</PER><ACT>, cartes géographiques</ACT>, <LOC>Mathurins</LOC>, <CARDINAL>18</CARDINAL>.",Selves,", cartes géographiques",", cartes geographiques",Mathurins,18,1,1,1,1,0.7371,POINT (650904.4 6863859)
1822,Bottin1_1822,123,v2:2022-06-20,7510634,"Janet (René), fab. de cartes, Mathurins-S.-
s Jacqnes, 10.
T","<PER>Janet (René),</PER> <ACT>fab. de cartes</ACT><LOC>, Mathurins-S.- s Jacqnes</LOC>, <CARDINAL>10</CARDINAL>. T","Janet (René),",fab. de cartes,fab. de cartes,", Mathurins-S.- s Jacqnes",10,1,1,1,1,"NA",POINT EMPTY
1855,Didot_1855a,225,v2:2022-06-20,7511025,"Gay (François), fab. de carton-pâte et cartes
en feuilles, Michel-le-Comte, 7 et 14.","<PER>Gay (François),</PER> <ACT>fab. de carton-pâte et cartes en feuilles</ACT><LOC>, Michel-le-Comte</LOC>, <CARDINAL>7</CARDINAL> et <CARDINAL>14</CARDINAL>.","Gay (François),",fab. de carton-pâte et cartes en feuilles,fab. de carton-pate et cartes en feuilles,", Michel-le-Comte","c(""7"", ""14"")",1,1,1,2,"NA",POINT EMPTY
1903,DidotBottin_1903a,60,v2:2022-06-20,7516250,"Aubrecq (Ch. Joly succ.), inprimeur spectat
de cartes à boutons, Faub.-du-Temple, 42.
Azd
pLEPH
Vífe)","<PER>Aubrecq (Ch. Joly succ.),</PER> <ACT>inprimeur spectat de cartes à boutons</ACT>, <LOC>Faub.-du-Temple</LOC>, <CARDINAL>42</CARDINAL>. Azd pLEPH Vífe)","Aubrecq (Ch. Joly succ.),",inprimeur spectat de cartes à boutons,inprimeur spectat de cartes a boutons,Faub.-du-Temple,42,1,1,1,1,0.787152,POINT (653709.2 6863431)
